VERIFIED,9/2/2020,Ed Lapasota,In House ,2258,RSW,,
SHIPPED,6/4/2020,Ed Lapasota,Shipped to RSW ,2258,RSW,,
SHIPPED,1/21/2020,Ed Lapasota,Shipped to MCLA 1-21-20  ,2259,MCLA,,
RETURNED,9/2/2020,Ed Lapasota,In-house 09.02.20,2260,MCLA,,
SHIPPED,1/14/2020,Ed Lapasota,Shipped to QXU ,2260,QXU,,
SHIPPED,1/27/2020,Ed Lapasota,Shipped to MLCA ,2260,MCLA,,
SHIPPED,5/15/2020,Ed Lapasota,Shipping to MLCA ,2261,MCLA,,
RETURNED,6/15/2020,Ed Lapasota,Returned from Bill O'Hare,2262,MCLA,,
VERIFIED,9/2/2020,Ed Lapasota,In-House 09.02.20,2263,Speedcast GSI Gov,,
SHIPPED,2/10/2020,Ed Lapasota,Shipped to MLCA 02.10.20,2264,MCLA,,
SHIPPED,3/31/2020,Ed Lapasota,Shipped to GDT 03.31.20,2265,GDT,,
SHIPPED,3/13/2020,Ed Lapasota,Shipped to QUZ 03.13.20,2266,QUZ,,
VERIFIED,9/1/2020,Ed Lapasota,BHF TEST RACK 09/1/20 |,2267,BHF,,
VERIFIED,6/5/2020,Ed Lapasota,In House - SCG Test Rack | May Ship to Site TBD - Verify before using 06.05.20 |,2268,SCG,,
RETURNED,7/9/2020,Ed Lapasota,Returned from QJA - John Kayanek,2269,QJA,,
SHIPPED,1/20/2020,Ed Lapasota,Shipped to QJM 01.29.20,2270,QJM,,
VERIFIED,6/5/2020,Ed Lapasota,Unit in house Verified 06.05.20,2271,Speedcast GSI Gov,,
VERIFIED,6/5/2020,Ed Lapasota,Unit in house Verified 06.05.20,2272,Speedcast GSI Gov,,
VERIFIED,6/5/2020,Ed Lapasota,Unit in house Verified 06.05.20,2273,Speedcast GSI Gov,,
RETURNED,6/15/2020,Ed Lapasota, Returned from Vendor RTV# 13374 | BHF Test Rack |,2273,Speedcast GSI Gov,,13374
RETURNED,6/15/2020,Ed Lapasota,Returned from Vendor RTV# 13375,2274,Speedcast GSI Gov,,13375
VERIFIED,9/2/2020,Ed Lapasota,In-House 09.02.20 |,2275,Speedcast GSI Gov,,
VERIFIED,9/2/2020,Ed Lapasota,Unit in house (SPARES),2276,Speedcast GSI Gov,,
SHIPPED,1/20/2020,Ed Lapasota,Shipped to QJM 01.29.20,2277,QJM,,
VERIFIED,5/15/2020,Ed Lapasota,Unit in house | 05.15.20 Unit in House,2277,Speedcast GSI Gov,,
SHIPPED,2/20/2020,Ed Lapasota,Shipped to Vendor ,2278,Comtech,,
RETURNED,5/15/2020,Ed Lapasota,Unit in House - Test Rack ,2279,Speedcast GSI Gov,,
SHIPPED,1/20/2020,Ed Lapasota,Shipped to QJM 01.29.20,2280,QJM,,
VERIFIED,5/15/520,Ed Lapasota,Unit in house -Verified 05.15.20,2281,Speedcast GSI Gov,,
VERIFIED,5/15/2020,Ed Lapasota,Unit in house -Verified 05.15.20,2282,Speedcast GSI Gov,,
MISSING,9/2/2020,Ed Lapasota,Unit in house - ****Must Locate Unit****,2282,Unknown,,
VERIFIED,5/15/2020,Ed Lapasota,Unit in house -Verified ,2283,Speedcast GSI Gov,,
SHIPPED,7/9/2020,Ed Lapasota,Shipped back from QJA TEST RACK,2283,QJA,,
VERIFIED,5/15/2020,Ed Lapasota,Unit in house -Verified 05.15.20 ,2283,Speedcast GSI Gov,,
SHIPPED,6/19/2020,Ed Lapasota,Shipped to QYB ,2284,QYB,,
SHIPPED,7/9/2020,Ed Lapasota,Shipped back | BHF TEST RACK,2285,Speedcast GSI Gov,,
VERIFIED,5/15/2020,Ed Lapasota,Unit in house -Verified 05.15.20,2286,Speedcast GSI Gov,,
RETURNED,9/2/2020,Ed Lapasota,Returned from Vendor RTV# 13357,2286,Comtech,,13357
