"CPI Codan, 10 Watt, C-Band BUC",BUC,C-Band,CPI,4710l-W/S-DC/EX-NI,N/A,N/A,Active,9/22/2020
Complete c-band feed assembly,Assy,C-Band,Speedcast GSI Gov,GSI manufactured,N/A,N/A,Active,9/22/2020
Complete k/u feed assembly,Assy,Ku-Band,Speedcast GSI Gov,GSI manufactured,N/A,N/A,Active,9/22/2020
Ku-band rx/tx cross pol feed only ,Assy,Ku-Band,Speedcast GSI Gov,#0800-1789,N/A,N/A,Active,9/22/2020
Ku-Band W/G Switch,Assy,Ku-Band,Speedcast GSI Gov,75BOS,N/A,N/A,Active,9/22/2020
AGGR CARD/ACC,Sub-Assy,N/A,General Datacomm,036M313-006,N/A,N/A,Active,9/22/2020
ESCC CARD,Sub-Assy,N/A,General Datacomm,036M337-001,N/A,N/A,Active,9/22/2020
TR Logic Card,Sub-Assy,N/A,General Datacomm,036P037-021,N/A,N/A,Active,9/22/2020
AGGR CARD/ACC,Sub-Assy,N/A,General Datacomm,036M313-006,N/A,N/A,Active,9/22/2020
PCM Voice CH without Echo Card,Sub-Assy,N/A,General Datacomm,036P265-003,N/A,N/A,Active,9/22/2020
UDC V4.22,Sub-Assy,N/A,General Datacomm,036M078-002,N/A,N/A,Active,9/22/2020
UDC V.35,Sub-Assy,N/A,General Datacomm,036M078-004,N/A,N/A,Active,9/22/2020
UDC V.232,Sub-Assy,N/A,General Datacomm,036M078-001,N/A,N/A,Active,9/22/2020
TDM Clock,Sub-Assy,N/A,General Datacomm,036M176-001,N/A,N/A,Active,9/22/2020
TDM Clock,Sub-Assy,N/A,General Datacomm,036P176-001,N/A,N/A,Active,9/22/2020
Auto Frame Card,Sub-Assy,N/A,General Datacomm,036P248-026,N/A,N/A,Active,9/22/2020
Expansion Shelf - HUB,Sub-Assy,N/A,General Datacomm,036M302-002,N/A,N/A,Active,9/22/2020
Clock Program PCB-96k,Sub-Assy,N/A,General Datacomm,036P601-001,N/A,N/A,Active,9/22/2020
AGGR Control Card,Sub-Assy,N/A,General Datacomm,036M333-129,N/A,N/A,Active,9/22/2020
TMS Chassis,Sub-Assy,N/A,General Datacomm,036B300-001,N/A,N/A,Active,9/22/2020
ACC card,Sub-Assy,N/A,General Datacomm,036M313-006,N/A,N/A,Active,9/22/2020
ESCC card,Sub-Assy,N/A,General Datacomm,036036M337-001,N/A,N/A,Active,9/22/2020
CIC card,Sub-Assy,N/A,General Datacomm,036P304-003,N/A,N/A,Active,9/22/2020
RCC card ,Sub-Assy,N/A,General Datacomm,036P302-001,N/A,N/A,Active,9/22/2020
vac moisture grid,Sub-Assy,N/A,General Datacomm,035B006,N/A,N/A,Active,9/22/2020
TMS Expansion chassis,Sub-Assy,N/A,General Datacomm,ALTRON 075652,N/A,N/A,Active,9/22/2020
GDC UDC card,Sub-Assy,N/A,General Datacomm,036M078-001,N/A,N/A,Active,9/22/2020
GDC UDC card,Sub-Assy,N/A,General Datacomm,036M078-002,N/A,N/A,Active,9/22/2020
GDC UDC card,Sub-Assy,N/A,General Datacomm,036M078-004,N/A,N/A,Active,9/22/2020
GDC UVC card,Sub-Assy,N/A,General Datacomm,036P265-003,N/A,N/A,Active,9/22/2020
GDC UDC card,Sub-Assy,N/A,General Datacomm,036M078-001,N/A,N/A,Active,9/22/2020
MISC RIBBON CABLES,Sub-Assy,N/A,General Datacomm,029H614-002E,N/A,N/A,Active,9/22/2020
FLEX CARDS,Sub-Assy,N/A,General Datacomm,036P090-001,N/A,N/A,Active,9/22/2020
