DUAL 1:1 REDUNDANT CONTROLLER,Controller,N/A,Paradise Datacom,RCPD-1100-L1,N/A,N/A,Active,8/3/2020
DUAL 1:1 REDUNDANT CONTROLLER,Controller,N/A,Specialty Microwave,14386-500,N/A,N/A,Active,8/3/2020
L-Band Modem,Modem,L-Band,Comtech ED Data,CDM570AL,N/A,N/A,Active,8/3/2020
L-Band Modem Refurbished,Modem,L-Band,Comtech ED Data,CDM570L,N/A,N/A,Active,8/3/2020
Moem Switch,Switch,L-Band,Comtech ED Data,CRS-170,N/A,N/A,Active,8/3/2020
4 WATT Ku-BAND BUC,BUC,Ku-Band,Paradise Datacom,31K-04A563TXX,N/A,N/A,Obsolete,8/3/2020
SPECIALTY Power Supply,Controller,N/A,Specialty Microwave,6600-600-1,N/A,N/A,Not Active,8/3/2020
10W C_Band VBUC,BUC,C-Band,Paradise Datacom,VBUCC10AXXXXXX,N/A,N/A,Active,8/3/2020
10W Ku_Band VBUC,BUC,Ku-Band,Paradise Datacom,VBUCK10AXXXXXX,N/A,N/A,Active,8/3/2020
"8 Watt, Ku-Band BUC",BUC,Ku-Band,CPI,4908L,N/A,N/A,Active,8/3/2020
"10 Watt, C-Band BUC",BUC,C-Band,CPI,4710L,N/A,N/A,Active,8/3/2020
CPI BUC Plate Harness,BUC Plate,N/A,603 Manufacture,210698-05011,N/A,N/A,Active,8/3/2020
C-Band and vBUCs Harness,BUC Plate,N/A,Paradise Datacom,L204196-1,N/A,N/A,Not Active,8/3/2020
KU-BAND BUC HARNESS,BUC Plate,N/A,Paradise Datacom,L204195-1,N/A,N/A,Not Active,8/3/2020
"Dehydrator, Disposable 115VAC",Site,N/A,Andrew,DDH010-31015,N/A,N/A,Not Active,8/3/2020
"Pole Mount Dehydrator, 115VAC",Site,N/A,ETI,EDH-5,N/A,N/A,Not Active,8/3/2020
KU desiccant Bottle,Site,N/A,,SD003 UV,N/A,N/A,Not Active,8/3/2020
Replacement desiccant field replacable,Site,N/A,,18138PKG,N/A,N/A,Not Active,8/3/2020
"UPS, Rack Mount",UPS,N/A,APC,SRTA2200RMXLA,N/A,N/A,Not Active,8/3/2020
AIRCRAFT FILTER,Feed,C-Band,,7898D,N/A,N/A,Not Active,8/3/2020
C-Band Feed Assy,Feed,C-Band,,,N/A,N/A,Not Active,8/3/2020
Ku-Band Feed Assy,Feed,Ku-Band,,,N/A,N/A,Not Active,8/3/2020
Ku-band rx/tx cross pol feed only ,Feed,Ku-Band,,0800-1789,N/A,N/A,Not Active,8/3/2020
Ku LNB,LNB,Ku-Band,,HS1057AN,N/A,N/A,Not Active,8/3/2020
C LNB,LNB,C-Band,,3120N,N/A,N/A,Not Active,8/3/2020
vac moisture grid,De-Ice,N/A,,d1995 120 ,N/A,N/A,Not Active,8/3/2020
snap disc,De-Ice,N/A,,e1631 l-180f ,N/A,N/A,Not Active,8/3/2020
snap disc,De-Ice,N/A,,e1635 l-135s ,N/A,N/A,Not Active,8/3/2020
snap disc,De-Ice,N/A,,e1645 f-45 ,N/A,N/A,Not Active,8/3/2020
Contactor,De-Ice,N/A,,,N/A,N/A,Not Active,8/3/2020
Remote Control Panel,De-Ice,N/A,Walton Enterprizes,DP-7SS,N/A,N/A,Active,8/3/2020
4kw electric heater system,De-Ice,N/A,,,N/A,N/A,Not Active,8/3/2020
6 inch de-ice ducting kit,De-Ice,N/A,GD,M7036,N/A,N/A,Active,8/3/2020
7 inch de-ice ducting kit,De-Ice,N/A,GD,M7037,N/A,N/A,Active,8/3/2020
2.4m Passive snow shield cover,De-Ice,N/A,,,N/A,N/A,Not Active,8/3/2020
2.4M VERTEX FEED DE-ICE FEED COVER,De-Ice,N/A,,,N/A,N/A,Not Active,8/3/2020
2.4m C band feed horn cover,De-Ice,N/A,,,N/A,N/A,Not Active,8/3/2020
C-Band RX Switch,W/G Switch,C-Band,Sector Microwave Corp.,2SBGS (SM2S-1925-1),N/A,N/A,Not Active,8/3/2020
C-Band RX Switch Head,W/G Switch,C-Band,Sector Microwave Corp.,,N/A,N/A,Not Active,8/3/2020
C-Band TX Switch ,W/G Switch,C-Band,Sector Microwave Corp.,SM3D-1514,N/A,N/A,Not Active,8/3/2020
