STD,7/23/2020,Ed Lapasota,In House ,Speedcast/GSI Gov ,1507,,
MR,6/4/2020,Ed Lapasota,Shipped to RSW 06.04.20 ,RSW,1508,,
MR,1/21/2020,Ed Lapasota,Shipped to MCLA 1-21-20   ???? ED not correct - 144 ship to MLCA ,QXU,1509,,
MR,1/14/2020,Ed Lapasota,Shipped to QXU 01.14.20,MCLA,1509,,
STD,1/27/2020,Ed Lapasota,Shipped to MLCA 01.27.20 ,MCLA,1509,,
STD,5/15/2020,Ed Lapasota,05.15.20 - Shipping to MLCA ,MCLA,1510,,
STD,6/15/2020,Ed Lapasota,06.15.20 Returned from Bill O'Hare,Speedcast/GSI Gov ,1511,,
MR,7/23/2020,Ed Lapasota,Returned from site - *****Check against shipping Doc's*****,Speedcast/GSI Gov ,1512,,
MR,2/10/2020,Ed Lapasota,Shipped to MLCA 02.10.20,MCLA,1513,,
MR,3/31/2020,Ed Lapasota,Shipped to GDT 03.31.20,GDT,1514,,
MR,3/13/2020,Ed Lapasota,Shipped to QUZ 03.13.20,QUZ,1515,,
STD,6/5/2020,Ed Lapasota,In House - SCG Test Rack | May Ship to Site TBD - Verify before using 06.05.20 |,Speedcast/GSI Gov ,1516,,
STD,1/20/2020,Ed Lapasota,Shipped to QJM 01.29.20,QJM,1517,,
STD,6/5/2020,Ed Lapasota,Unit in house Verified 06.05.20,Speedcast/GSI Gov ,1518,,
STD,6/5/2020,Ed Lapasota,Unit in house Verified 06.05.20,Speedcast/GSI Gov ,1519,,
STD,6/5/2020,Ed Lapasota,Unit in house Verified 06.05.20,Speedcast/GSI Gov ,1520,,
REPAIR,6/15/2020,Ed Lapasota,06.15.20 Returned from Vendor RTV# 13374 ,Speedcast/GSI Gov ,1521,,13374
REPAIR,6/15/2020,Ed Lapasota,06.15.20 Returned from Vendor RTV# 13375 ,Speedcast/GSI Gov ,1522,,13375
STD,7/23/2020,Ed Lapasota,Unit in house (SPARES),Speedcast/GSI Gov ,1523,,
MR,1/29/2020,Ed Lapasota,Shipped to QJM 01.29.20,QJM,1523,,
STD,7/23/2020,Ed Lapasota,Unit in house ,Speedcast/GSI Gov ,1524,,
STD,5/15/2020,Ed Lapasota,05.15.20 Unit in House,Speedcast/GSI Gov ,1524,,
REPAIR,2/25/2020,Ed Lapasota,Shipped to Vendor 02.25.20,Comtech,1525,,
REPAIR,1/29/2020,Ed Lapasota,05.15.20 Unit in House - Test Rack,Speedcast/GSI Gov ,1526,,
MR,1/29/2020,Ed Lapasota,Shipped to QJM 01.29.20,QJM,1527,,
STD,5/15/2020,Ed Lapasota,Unit in house -Verified 05.15.20,Speedcast/GSI Gov ,1528,,
STD,5/15/2020,Ed Lapasota,Unit in house -Verified 05.15.20,Speedcast/GSI Gov ,1529,,
STD,7/23/2020,Ed Lapasota,Unit in house - ****Must Locate Unit****,Speedcast/GSI Gov ,1530,,
STD,5/15/2020,Ed Lapasota,Unit in house -Verified 05.15.20,Speedcast/GSI Gov ,1530,,
STD,5/15/2020,Ed Lapasota,Unit in house -Verified 05.15.20 ,Speedcast/GSI Gov ,1531,,
MR,6/19/2020,Ed Lapasota,Shipped to QYB 06.19.20 ,QYB,1532,,
STD,5/15/2020,Ed Lapasota,Unit in house -Verified 05.15.20,Speedcast/GSI Gov ,1532,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,1533,,13357
,7/23/2020,Ed Lapasota,Returned from Vendor RTV# 13357,Speedcast/GSI Gov ,1533,,13357
MR,3/6/2020,Ed Lapasota,Shipped to QEA 03.06.20 ,QEA,1534,,
MR,5/15/2020,Ed Lapasota,Returned from QEA 05.15.20,Speedcast/GSI Gov ,1535,,
STD,3/11/2020,Ed Lapasota,Shipped to QUZ 03.11.20,QUZ,1536,,
STD,5/15/2020,Ed Lapasota,Unit in house -Verified 05.15.20,Speedcast/GSI Gov ,1537,,
MR,1/17/2020,Ed Lapasota,Shipped to NAW 01.17.20,NAW,1538,,
MR,1/17/2020,Ed Lapasota,Shipped to NAW 01.17.20,NAW,1539,,
MR,1/27/2020,Ed Lapasota,Shipped to MLCA 1-27-20,MCLA,1539,,
MR,8/15/2020,Ed Lapasota,Shipping to MLCA 05.15.20 ,MCLA,1540,,
MR,6/15/2020,Ed Lapasota,06.15.20 Returned from Bill O'Hare,Speedcast/GSI Gov ,1541,,
MR,1/16/2020,Ed Lapasota,"Shipped to Ken Green, Brewers Ct. 01.16.20",Ken Green,1542,,
MR,1/16/2020,Ed Lapasota,"Shipped to Ken Green, Brewers Ct. 01.16.20",Ken Green,1542,,
MR,5/15/2020,Ed Lapasota,SHIPPING TO QJM,QJM,1543,,
REPAIR,5/15/2020,Ed Lapasota,Returned from Vendor 05.15.20 - RTV# 13356,Speedcast/GSI Gov ,1543,,13356
MR,1/21/2020,Ed Lapasota,Shipped to MLCA 1-21-20,MCLA,1544,,
STD,5/15/2020,Ed Lapasota,Verified In House 05.15.20,Speedcast/GSI Gov ,1544,,
REPAIR,2/25/2020,Ed Lapasota,Returned to vendor 02.25.20 ,Comtech,1545,,
STD,5/15/2020,Ed Lapasota,Verified In House 05.15.20,Speedcast/GSI Gov ,1546,,
MR,3/31/2020,Ed Lapasota,Shipped to GDT 03.31.20,GDT,1547,,
STD,7/23/2020,Ed Lapasota,Unit in house - SHIPPING TO FK7,Speedcast/GSI Gov ,1548,,
STD,7/23/2020,Ed Lapasota,Unit in house - SHIPPING TO FK7,Speedcast/GSI Gov ,1548,,
REPAIR,2/25/2020,Ed Lapasota,Returned to vendor 02.25.20 ,Comtech,1549,,
REPAIR,5/15/2020,Ed Lapasota,05.15.20 - Returned from Vendor ,Speedcast/GSI Gov ,1550,,
STD,5/15/2020,Ed Lapasota,Verified In House 05.15.20 - SCG CPV Test Rk |,Speedcast/GSI Gov ,1551,,
STD,5/15/2020,Ed Lapasota,Verified In House 05.15.20 - SCG NQX Test Rk |,Speedcast/GSI Gov ,1552,,
STD,5/15/2020,Ed Lapasota,Verified In House 05.15.20 - SCG NQX Test Rk |,Speedcast/GSI Gov ,1552,,
MR,1/21/2020,Ed Lapasota,Unit at QXU 1/21/20 awaiting return from site ,QXU,1553,,
STD,5/15/2020,Ed Lapasota,In House 05.15.20,Speedcast/GSI Gov ,1553,,
MR,1/21/2020,Ed Lapasota,Unit at QXU 1/21/20 awaiting return from site ,QXU,1554,,
STD,5/15/2020,Ed Lapasota,In House 05.15.20,Speedcast/GSI Gov ,1555,,
STD,1/21/2020,Ed Lapasota,Unit at QXU 1/21/20 installed in rack ,QXU,1555,,
MR,1/27/2020,Ed Lapasota,Shipped to MLCA 01.27.20 ,MCLA,1556,,
STD,5/15/2020,Ed Lapasota,In House 05.15.20,Speedcast/GSI Gov ,1556,,
MR,1/29/2020,Ed Lapasota,Shipped to QJM 01.29.20 ,QJM,1557,,
STANDARD,5/15/2020,Ed Lapasota,In House 05.15.20,Speedcast/GSI Gov ,1558,,
MR,11/14/2019,Ed Lapasota,Shipped to vendor 11/14/19 RMA 99654,QJM,1559,,
STD,5/15/2020,Ed Lapasota,In House 05.15.20 |,Speedcast/GSI Gov ,1560,,
STD,5/15/2020,Ed Lapasota,In House 05.15.20 |,Speedcast/GSI Gov ,1561,,
STD,5/15/2020,Ed Lapasota,In House 05.15.20 |,Speedcast/GSI Gov ,1562,,
STD,5/15/2020,Ed Lapasota,In House 05.15.20 |,Speedcast/GSI Gov ,1563,,
STD,5/15/2020,Ed Lapasota,In House 05.15.20 |,Speedcast/GSI Gov ,1564,,
STD,5/15/2020,Ed Lapasota,In House 05.15.20 - SCG Test Rk  - Couldn't see S/N |,Speedcast/GSI Gov ,1565,,
STD,5/15/2020,Ed Lapasota,In House 05.15.20 |,Speedcast/GSI Gov ,1566,,
STD,5/15/2020,Ed Lapasota,In House 05.15.20 |,Speedcast/GSI Gov ,1567,,
STD,5/15/2020,Ed Lapasota,In House 05.15.20 |,Speedcast/GSI Gov ,1568,,
MR,3/11/2020,Ed Lapasota,Shipped to QAF 03.11.20,QAF,1569,,
MR,3/11/2020,Ed Lapasota,Shipped to QUZ 03.11.20,QUZ,1570,,
MR,6/15/2020,Ed Lapasota,VBUCK10AAXXXXXX is Model/N |  06.15.20 Returned from Bill 0'Hare,Speedcast/GSI Gov ,1571,,
MR,6/15/2020,Ed Lapasota,VBUCK10AAXXXXXX is Model/N |  06.15.20 Returned from Bill 0'Hare,Speedcast/GSI Gov ,1572,,
STD,7/23/2020,Ed Lapasota,"Obsolete, replaced with item #9 below",Speedcast/GSI Gov ,1573,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,1574,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,1575,,
STD,5/15/2020,Ed Lapasota,Unit in house | Verified In House 05.15.20,Speedcast/GSI Gov ,1576,,
STD,5/15/2020,Ed Lapasota,Unit in house | Verified In House 05.15.20,Speedcast/GSI Gov ,1577,,
STD,5/15/2020,Ed Lapasota,Unit in house | Shipping to MLCA 05.15.20,Speedcast/GSI Gov ,1578,,
STD,5/15/2020,Ed Lapasota,Unit in house | Verified In House 05.15.20,Speedcast/GSI Gov ,1579,,
STD,5/15/2020,Ed Lapasota,Unit in house | Verified In House 05.15.20,Speedcast/GSI Gov ,1580,,
STD,5/15/2020,Ed Lapasota,Unit in house | Shipping to MLCA 05.15.20,Speedcast/GSI Gov ,1581,,
STD,5/15/2020,Ed Lapasota,Unit in house | Verified In House 05.15.20,Speedcast/GSI Gov ,1581,,
STD,5/15/2020,Ed Lapasota,Unit in house - Verified In House 05.15.20 ,Speedcast/GSI Gov ,1582,,
MR,7/23/2020,Ed Lapasota,Shipped to QFI 06.19.20 ,,1583,,
MR,7/23/2020,Ed Lapasota,TO BE RETURNED FOR REPAIR,Speedcast/GSI Gov ,1584,,
MR,7/23/2020,Ed Lapasota,TO BE RETURNED FOR REPAIR,Speedcast/GSI Gov ,1585,,
MR,3/11/2020,Ed Lapasota,Shipped to EYW 03.11.20,EYW,1586,,
STD,7/23/2020,Ed Lapasota,In-House ,Speedcast/GSI Gov ,1587,,
MR,3/11/2020,Ed Lapasota,Shipped to EYW 03.11.20,EYW,1588,,
REPAIR,7/23/2020,Ed Lapasota,Unit returned to vendor - RMA 41319,CPI,1589,,41319
STD,7/23/2020,Ed Lapasota,Unit in house - LOCATE BUC?????,Speedcast/GSI Gov ,1590,,
REPAIR,7/23/2020,Ed Lapasota,units being returned to CPI to incorporate latest REVISIONS - Fault   RMA 41322,CPI,1591,,41322
REPAIR,7/23/2020,Ed Lapasota,units being returned to CPI to incorporate latest REVISIONS - Fault - RMA 41318,CPI,1592,,41318
REPAIR,7/23/2020,Ed Lapasota,Broken DC Conector   RMA 41321,CPI,1593,,41321
REPAIR,7/23/2020,Ed Lapasota,units being returned to CPI to incorporate latest REVISIONS - Fault   RMA 41320,CPI,1594,,41320
REPAIR,7/23/2020,Ed Lapasota,units being returned to CPI to incorporate latest REVISIONS - Fault | In House 05.15.20,CPI,1595,,
REPAIR,7/23/2020,Ed Lapasota,Unit returned to vendor - RMA 41323,CPI,1596,,41323
STD,5/15/2020,Ed Lapasota,Unit in house | In House 05.15.20,Speedcast/GSI Gov ,1597,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,1598,,
MR,2/4/2019,Ed Lapasota,1 Shipped to CTY on 2/4/19.  3 Units in house,CTY,1599,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,1600,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,1601,,
REPAIR,7/23/2020,Ed Lapasota,one missng descant bottle send to (NAW),NAW,1602,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,1603,,
OBSOLETE,7/23/2020,Ed Lapasota,"Obsolete, not required",Speedcast/GSI Gov ,1604,,
STD,7/23/2020,Ed Lapasota,Unit in house (To be located),Speedcast/GSI Gov ,1605,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,1606,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,1607,,
MR,1/23/2020,Ed Lapasota,Shipped to BHF - Alan Danvers 01.23.20,BHF,1608,,
STD,7/23/2020,Ed Lapasota,Unit in house (To be located),Speedcast/GSI Gov ,1609,,
STD,7/23/2020,Ed Lapasota,Unit in house (To be located),Speedcast/GSI Gov ,1610,,
STD,7/23/2020,Ed Lapasota,Unit in house (To be located),Speedcast/GSI Gov ,1611,,
STD,7/23/2020,Ed Lapasota,Unit in house (To be located),Speedcast/GSI Gov ,1612,,
STD,7/23/2020,Ed Lapasota,Labeled Fly Away  (SRT750 Series),Speedcast/GSI Gov ,1613,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,1614,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,1615,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,1616,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,1617,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,1618,,
STD,7/23/2020,Ed Lapasota,Unit in house,Speedcast/GSI Gov ,1619,,
