STD,7/23/2020,Ed Lapasota,In House ,Speedcast/GSI Gov ,1,,
MR,6/4/2020,Ed Lapasota,Shipped to RSW 06.04.20 ,RSW,2,,
MR,1/21/2020,Ed Lapasota,Shipped to MCLA 1-21-20   ???? ED not correct - 144 ship to MLCA ,QXU,3,,
MR,1/14/2020,Ed Lapasota,Shipped to QXU 01.14.20,MCLA,3,,
STD,1/27/2020,Ed Lapasota,Shipped to MLCA 01.27.20 ,MCLA,3,,
STD,5/15/2020,Ed Lapasota,05.15.20 - Shipping to MLCA ,MCLA,4,,
STD,6/15/2020,Ed Lapasota,06.15.20 Returned from Bill O'Hare,Speedcast/GSI Gov ,5,,
MR,7/23/2020,Ed Lapasota,Returned from site - *****Check against shipping Doc's*****,Speedcast/GSI Gov ,6,,
MR,2/10/2020,Ed Lapasota,Shipped to MLCA 02.10.20,MCLA,7,,
MR,3/31/2020,Ed Lapasota,Shipped to GDT 03.31.20,GDT,8,,
MR,3/13/2020,Ed Lapasota,Shipped to QUZ 03.13.20,QUZ,9,,
STD,6/5/2020,Ed Lapasota,In House - SCG Test Rack | May Ship to Site TBD - Verify before using 06.05.20 |,Speedcast/GSI Gov ,10,,
STD,1/20/2020,Ed Lapasota,Shipped to QJM 01.29.20,QJM,11,,
STD,6/5/2020,Ed Lapasota,Unit in house Verified 06.05.20,Speedcast/GSI Gov ,12,,
STD,6/5/2020,Ed Lapasota,Unit in house Verified 06.05.20,Speedcast/GSI Gov ,13,,
STD,6/5/2020,Ed Lapasota,Unit in house Verified 06.05.20,Speedcast/GSI Gov ,14,,
REPAIR,6/15/2020,Ed Lapasota,06.15.20 Returned from Vendor RTV# 13374 ,Speedcast/GSI Gov ,15,,13374
REPAIR,6/15/2020,Ed Lapasota,06.15.20 Returned from Vendor RTV# 13375 ,Speedcast/GSI Gov ,16,,13375
STD,7/23/2020,Ed Lapasota,Unit in house (SPARES),Speedcast/GSI Gov ,17,,
MR,1/29/2020,Ed Lapasota,Shipped to QJM 01.29.20,QJM,17,,
STD,7/23/2020,Ed Lapasota,Unit in house ,Speedcast/GSI Gov ,18,,
STD,5/15/2020,Ed Lapasota,05.15.20 Unit in House,Speedcast/GSI Gov ,18,,
REPAIR,2/25/2020,Ed Lapasota,Shipped to Vendor 02.25.20,Comtech,19,,
REPAIR,1/29/2020,Ed Lapasota,05.15.20 Unit in House - Test Rack,Speedcast/GSI Gov ,20,,
MR,1/29/2020,Ed Lapasota,Shipped to QJM 01.29.20,QJM,21,,
STD,5/15/2020,Ed Lapasota,Unit in house -Verified 05.15.20,Speedcast/GSI Gov ,22,,
STD,5/15/2020,Ed Lapasota,Unit in house -Verified 05.15.20,Speedcast/GSI Gov ,23,,
STD,7/23/2020,Ed Lapasota,Unit in house - ****Must Locate Unit****,Speedcast/GSI Gov ,24,,
STD,5/15/2020,Ed Lapasota,Unit in house -Verified 05.15.20,Speedcast/GSI Gov ,24,,
STD,5/15/2020,Ed Lapasota,Unit in house -Verified 05.15.20 ,Speedcast/GSI Gov ,25,,
MR,6/19/2020,Ed Lapasota,Shipped to QYB 06.19.20 ,QYB,26,,
STD,5/15/2020,Ed Lapasota,Unit in house -Verified 05.15.20,Speedcast/GSI Gov ,26,,
